Dataset,Dataset_Size,Mode,Memory_Ratio,Threads,Actual_Threads,Cycles,Instructions,Instructions_Per_Cycle,Memory_Accesses,CPU_Usage,Swap_Activity,IO_Performance,Context_Switches,Run_Queue_Length,Time_Elapsed,Page_Faults,Memory_Swap,Page_Allocations,Disk_Wait
amazon_Home_and_Kitchen,2.517,MERCI,1.5,64,,480537545476,133447279961,.277,3786754669,,,,12336,,10.222285689,185953933,0,239755514,193409
amazon_Home_and_Kitchen,2.517,MERCI,1.5,128,,810601674469,141178064361,.174,3678751801,,,,14701,,10.235616804,186162459,0,240535210,193918
amazon_Home_and_Kitchen,2.517,MERCI,1.5,256,,1459216547716,156556992552,.107,3688135576,,,,20785,,11.192073941,186388720,0,241314818,194439
amazon_Home_and_Kitchen,2.517,MERCI,2.0,32,,326226734211,130173621272,.399,3947990901,,,,10510,,11.276628235,186610874,0,242106550,195045
amazon_Home_and_Kitchen,2.517,MERCI,2.0,64,,472019630640,133554452870,.282,3597548312,,,,11571,,10.220603414,186829839,0,242898422,195561
amazon_Home_and_Kitchen,2.517,MERCI,2.0,128,,762863592805,139867193193,.183,3524012468,,,,14828,,11.246045868,187033877,0,243690326,196048
amazon_Home_and_Kitchen,2.517,MERCI,2.0,256,,1397982658200,157078359909,.112,3516371887,,,,20116,,10.345930413,187271540,0,244483058,196705
amazon_Home_and_Kitchen,2.517,MERCI,9.0,32,,353141221870,137269682468,.388,3457209441,,,,10978,,11.279049876,187471322,0,245288782,197198
amazon_Home_and_Kitchen,2.517,MERCI,9.0,64,,485506147031,141264479167,.290,3580731335,,,,12210,,11.068557910,187706067,0,246094370,197719
amazon_Home_and_Kitchen,2.517,MERCI,9.0,128,,756745163761,148698455873,.196,3488441958,,,,15575,,11.151640666,187901027,0,246899962,198216
amazon_Home_and_Kitchen,2.517,MERCI,9.0,256,,1244011188225,159597228674,.128,3475654016,,,,19938,,11.299757070,188111181,0,247705570,198711
d,MERCI,1.25,32,,,93516932,53085113,.567,6266500,,,,812,,0.037066381,188117023,0,247719238,198715
d,MERCI,1.25,64,,,91219994,52890483,.579,6276104,,,,836,,0.037075689,188123000,0,247732874,198719
d,MERCI,1.25,128,,,89608207,53512874,.597,6176354,,,,820,,0.035933695,188128936,0,247746510,198722
d,MERCI,1.25,256,,,94034805,52774603,.561,6350929,,,,852,,0.036190227,188135264,0,247760146,198726
d,MERCI,1.5,32,,,90422701,52890152,.584,6220786,,,,824,,0.034410258,188141141,0,247773786,198730
d,MERCI,1.5,64,,,90570014,52435441,.578,6253277,,,,821,,0.034720930,188147075,0,247787422,198734
d,MERCI,1.5,128,,,89378890,51059198,.571,6097890,,,,821,,0.036136756,188152930,0,247801066,198738
d,MERCI,1.5,256,,,83671091,52477435,.627,6247503,,,,819,,0.034713246,188158781,0,247814710,198741
d,MERCI,2.0,32,,,94288046,54050525,.573,6047022,,,,820,,0.034069638,188164589,0,247828358,198745
d,MERCI,2.0,64,,,86108201,52442831,.609,6022860,,,,814,,0.035422647,188170460,0,247842006,198749
d,MERCI,2.0,128,,,85821855,52771976,.614,6222135,,,,812,,0.034510765,188176297,0,247855642,198752
d,MERCI,2.0,256,,,88090589,52926539,.600,6439125,,,,877,,0.034880109,188182623,0,247869278,198756
d,MERCI,9.0,32,,,85856109,53364385,.621,6162032,,,,826,,0.036058119,188188423,0,247882918,198760
d,MERCI,9.0,64,,,84308976,52165735,.618,6226669,,,,813,,0.034904936,188194264,0,247896554,198764
d,MERCI,9.0,128,,,93000881,54419588,.585,6327407,,,,824,,0.034770494,188200092,0,247910214,198767
d,MERCI,9.0,256,,,97769380,53976713,.552,6343377,,,,828,,0.035916374,188205877,0,247923866,198771
